images,seg,bboxes
20180807145028_camera_frontcenter_000000091.png,20180807145028_label_frontcenter_000000091.png,20180807145028_label3D_frontcenter_000000091.txt
20180807145028_camera_frontcenter_000000127.png,20180807145028_label_frontcenter_000000127.png,20180807145028_label3D_frontcenter_000000127.txt
20180807145028_camera_frontcenter_000000380.png,20180807145028_label_frontcenter_000000380.png,20180807145028_label3D_frontcenter_000000380.txt
20180807145028_camera_frontcenter_000000468.png,20180807145028_label_frontcenter_000000468.png,20180807145028_label3D_frontcenter_000000468.txt
20180807145028_camera_frontcenter_000000470.png,20180807145028_label_frontcenter_000000470.png,20180807145028_label3D_frontcenter_000000470.txt
20180807145028_camera_frontcenter_000000544.png,20180807145028_label_frontcenter_000000544.png,20180807145028_label3D_frontcenter_000000544.txt
20180807145028_camera_frontcenter_000000570.png,20180807145028_label_frontcenter_000000570.png,20180807145028_label3D_frontcenter_000000570.txt
20180807145028_camera_frontcenter_000000646.png,20180807145028_label_frontcenter_000000646.png,20180807145028_label3D_frontcenter_000000646.txt
20180807145028_camera_frontcenter_000000736.png,20180807145028_label_frontcenter_000000736.png,20180807145028_label3D_frontcenter_000000736.txt
20180807145028_camera_frontcenter_000000742.png,20180807145028_label_frontcenter_000000742.png,20180807145028_label3D_frontcenter_000000742.txt
20180807145028_camera_frontcenter_000000891.png,20180807145028_label_frontcenter_000000891.png,20180807145028_label3D_frontcenter_000000891.txt
20180807145028_camera_frontcenter_000000911.png,20180807145028_label_frontcenter_000000911.png,20180807145028_label3D_frontcenter_000000911.txt
20180807145028_camera_frontcenter_000001268.png,20180807145028_label_frontcenter_000001268.png,20180807145028_label3D_frontcenter_000001268.txt
20180807145028_camera_frontcenter_000001357.png,20180807145028_label_frontcenter_000001357.png,20180807145028_label3D_frontcenter_000001357.txt
20180807145028_camera_frontcenter_000001363.png,20180807145028_label_frontcenter_000001363.png,20180807145028_label3D_frontcenter_000001363.txt
